"Etablissement","Code_etablissement","Code_commune","Secteur","Effectif","Taux_reussite","Filiere"
"LYCEE CLAUDE FAURIEL","0420041S","42218","PU",30,100,"L"
"LYCEE HONORE D'URFE","0420042T","42218","PU",55,91,"L"
"LYCEE JEAN MONNET","0420043U","42218","PU",24,92,"L"
"LYCEE SAINT PAUL","0421035X","42218","PR",14,100,"L"
"LYCEE TEZENAS DU MONTCEL","0420979L","42218","PR",2,100,"L"
"LYCEE SIMONE WEIL","0420044V","42275","PU",31,94,"L"
"LYCEE AIGUERANDE (GENERAL ET TECHNO.)","0693734J","69019","PU",45,87,"L"
"LYCEE JEAN-PAUL SARTRE","0693044J","69029","PU",39,90,"L"
"LYCEE BLAISE PASCAL","0693518Z","69044","PU",32,91,"L"
"LYCEE CHARLIE CHAPLIN (GENERAL ET TECHNO.)","0692800U","69275","PU",24,67,"L"
"LYCEE ARAGON-PICASSO (GENERAL ET TECHNO.)","0693330V","69091","PU",48,75,"L"
"LYCEE ASSOMPTION BELLEVUE","0690539L","69142","PR",20,95,"L"
"INSTITUTION DES CHARTREUX","0690564N","69381","PR",33,100,"L"
"LYCEE JEAN-BAPTISTE DE LA SALLE","0690671E","69381","PR",24,88,"L"
"LYCEE SAINT LOUIS-SAINT BRUNO","0690563M","69381","PR",15,100,"L"
"LYCEE AMPERE","0690023A","69382","PU",64,95,"L"
"LYCEE JULIETTE RÉCAMIER","0690032K","69382","PU",47,87,"L"
"LYCEE SAINT MARC","0690571W","69382","PR",27,100,"L"
"LYCEE CHARLES DE FOUCAULD","0690514J","69383","PR",16,100,"L"
"LYCEE LACASSAGNE","0690029G","69383","PU",16,63,"L"
"LYCEE ANTOINE DE SAINT-EXUPERY","0690031J","69384","PU",76,92,"L"
"LYCEE LA FAVORITE SAINTE THERESE","0690520R","69385","PR",9,100,"L"
"LYCEE NOTRE DAME DES MINIMES","0690519P","69385","PR",11,100,"L"
"LYCEE SAINT JUST","0690028F","69385","PU",67,99,"L"
"LYCEE SAINTE MARIE LYON","0690521S","69385","PR",31,100,"L"
"EXTERNAT DE LA TRINITE","0690533E","69386","PR",13,100,"L"
"LYCEE DEBORDE","0690529A","69386","PR",11,100,"L"
"LYCEE DU PARC","0690026D","69386","PU",20,95,"L"
"LYCEE EDOUARD HERRIOT","0690027E","69386","PU",26,92,"L"
"CITE SCOLAIRE INTERNATIONALE","0693446W","69387","PU",46,96,"L"
"LYCEE BELMONT-CAPDEPON","0690536H","69387","PR",13,100,"L"
"LYCEE CHEVREUL","0690574Z","69387","PR",18,100,"L"
"LYCEE AUGUSTE ET LOUIS LUMIERE","0690035N","69388","PU",68,87,"L"
"LYCEE COLBERT","0690042W","69388","PU",16,81,"L"
"LYCEE LA XAVIERE","0693587Z","69388","PR",11,100,"L"
"LYCEE PIERRE TERMIER","0690538K","69388","PR",13,100,"L"
"LYCEE JEAN PERRIN","0690082P","69389","PU",18,83,"L"
"LYCEE LA MARTINIERE  DUCHERE","0690038S","69389","PU",19,74,"L"
"LYCEE NOTRE DAME DE BELLEGARDE","0690540M","69143","PR",23,100,"L"
"LYCEE ROSA PARKS","0694026B","69143","PU",26,85,"L"
"LYCEE PARC CHABRIERES","0690074F","69149","PU",36,89,"L"
"LYCEE SAINT THOMAS D'AQUIN VERITAS","0690543R","69149","PR",19,100,"L"
"LYCEE ALBERT CAMUS","0692517L","69286","PU",21,71,"L"
"LYCEE GERMAINE TILLION","0694069Y","69171","PU",30,87,"L"
"LYCEE RENE DESCARTES","0693654X","69204","PU",25,88,"L"
"LYCEE CONDORCET","0693478F","69290","PU",39,90,"L"
"LYCEE CHAMPAGNAT","0691654Y","69238","PR",12,100,"L"
"LYCEE NOTRE DAME DE BEL AIR","0693267B","69243","PR",10,100,"L"
"LYCEE RENE CASSIN","0690085T","69243","PU",10,80,"L"
"LYCEE SAINT JOSEPH","0690550Y","69244","PR",6,100,"L"
"LYCEE FRANCOIS MANSART (GENERAL ET TECHNO.)","0693566B","69248","PU",7,100,"L"
"LYCEE ROBERT DOISNEAU","0693619J","69256","PU",24,79,"L"
"LYCEE JACQUES BREL (GENERAL ET TECHNO.)","0692717D","69259","PU",14,43,"L"
"LYCEE CLAUDE BERNARD (GENERAL ET TECHNO.)","0690097F","69264","PU",80,88,"L"
"LYCEE NOTRE DAME DE MONGRE","0690552A","69264","PR",22,100,"L"
"LYCEE FREDERIC FAYS (GENERAL ET TECHNO.)","0690103M","69266","PU",18,67,"L"
"LYCEE IMMACULEE CONCEPTION","0690554C","69266","PR",24,96,"L"
"LYCEE PIERRE BROSSOLETTE","0690132U","69266","PU",29,90,"L"
"LYCEE DU NORD CARAIBE (GENERAL ET TECHNO.)","9720823M","97234","PU",15,87,"L"
"LYCEE CENTRE SUD","9720825P","97207","PU",47,98,"L"
"LYCEE AMEP (GENERAL ET TECHNO.)","9720615L","97209","PR",10,80,"L"
"LYCEE BELLEVUE","9720003W","97209","PU",49,96,"L"
"LYCEE DE L'UNION","9720070U","97209","PR",6,83,"L"
"LYCEE ST JOSEPH DE CLUNY","9720063L","97209","PR",19,100,"L"
"LYCEE VICTOR SCHOELCHER","9720002V","97209","PU",52,96,"L"
"LYCEE FRANTZ FANON","9720350Y","97230","PU",40,95,"L"
"LYCEE LA JETEE (GENERAL ET TECHNO.)","9720771F","97210","PU",28,86,"L"
"LYCEE ACAJOU 1","9720694X","97213","PU",17,76,"L"
"LYCEE ACAJOU 2 (GENERAL ET TECHNO.)","9720695Y","97213","PU",30,97,"L"
"LYCEE MONTGERALD","9720727H","97217","PU",24,100,"L"
"LYCEE JOSEPH ZOBEL (GENERAL ET TECHNO.)","9720725F","97221","PU",21,100,"L"
"LYCEE NORD ATLANTIQUE (GENERAL ET TECHNO.)","9720692V","97228","PU",30,100,"L"
"LYCEE DU NORD (GENERAL ET TECHNO.)","9760270P","97601","PU",66,76,"L"
"LYCEE TANI MALANDI (GENERAL ET TECHNO.)","9760316P","97606","PU",61,89,"L"
"LYCEE DE DEMBENI (GENERAL ET TECHNO.)","9760338N","97607","PU",35,91,"L"
"LYCEE YOUNOUSSA BAMANA","9760127J","97611","PU",125,74,"L"
"LYCEE DE PETITE-TERRE (GENERAL ET TECHNO.)","9760229V","97615","PU",39,95,"L"
"LYCEE DE SADA (GENERAL ET TECHNO.)","9760182U","97616","PU",77,88,"L"
"LYCEE JULES FIL (GENERAL ET TECHNO.)","0110007Y","11069","PU",48,90,"L"
"LYCEE PAUL SABATIER","0110004V","11069","PU",63,83,"L"
"LYCEE SAINT LOUIS (GENERAL ET TECHNO.)","0110045P","11069","PR",9,100,"L"
"LYCEE JEAN DURAND (GENERAL ET TECHNO.)","0110012D","11076","PU",36,97,"L"
"LYCEE JACQUES RUFFIE (GENERAL ET TECHNO.)","0110019L","11206","PU",23,100,"L"
"LYCEE BEAUSEJOUR (GENERAL ET TECHNO.)","0110670U","11262","PR",13,100,"L"
"LYCEE DOCTEUR LACROIX","0110022P","11262","PU",98,85,"L"
"LYCEE BELLEVUE","0300077W","30007","PR",32,100,"L"
"LYCEE JEAN-BAPTISTE DUMAS (GENERAL ET TECHNO.)","0300002P","30007","PU",29,93,"L"
"LYCEE ALBERT EINSTEIN (GENERAL ET TECHNO.)","0300950V","30028","PU",43,95,"L"
"LYCEE ANDRE CHAMSON (GENERAL ET TECHNO.)","0300052U","30350","PU",17,94,"L"
"LYCEE GENEVIEVE DE GAULLE-ANTHONIOZ (GENERAL ET TECHNO.)","0301654K","30169","PU",51,94,"L"
"LYCEE ALBERT CAMUS","0300023M","30189","PU",52,87,"L"
"LYCEE ALPHONSE DAUDET","0300021K","30189","PU",70,97,"L"
"LYCEE EMMANUEL D ALZON (GENERAL ET TECHNO.)","0300080Z","30189","PR",46,91,"L"
"LYCEE ERNEST HEMINGWAY (GENERAL ET TECHNO.)","0300027S","30189","PU",40,100,"L"
"LYCEE PHILIPPE LAMOUR","0301552Z","30189","PU",43,93,"L"
"LYCEE SAINT STANISLAS - SACRE COEUR","0300083C","30189","PR",18,78,"L"
"LYCEE ST VINCENT DE PAUL","0300127A","30189","PR",18,78,"L"
"LYCEE JACQUES PREVERT (GENERAL ET TECHNO.)","0301778V","30243","PU",36,100,"L"
"LYCEE CHARLES GIDE","0300046M","30334","PU",58,100,"L"
"LYCEE JEAN VILAR","0301722J","30351","PU",57,89,"L"
"LYCEE AUGUSTE LOUBATIERES (GENERAL ET TECHNO.)","0340002T","34003","PU",30,90,"L"
"LYCEE FERDINAND FABRE","0340005W","34028","PU",16,100,"L"
"LYCEE HENRI IV","0340009A","34032","PU",43,93,"L"
"LYCEE JEAN MOULIN (GENERAL ET TECHNO.)","0340011C","34032","PU",67,90,"L"
"LYCEE LA TRINITE","0340871M","34032","PR",17,100,"L"
"LYCEE GEORGES POMPIDOU (GENERAL ET TECHNO.)","0341921D","34057","PU",42,100,"L"
"LYCEE RENE GOSSE","0340023R","34079","PU",19,95,"L"
"LYCEE JEAN-FRANCOIS CHAMPOLLION (GENERAL ET TECHNO.)","0341794R","34129","PU",28,71,"L"
"LYCEE JOSEPH VALLOT (GENERAL ET TECHNO.)","0340028W","34142","PU",24,100,"L"
"LYCEE LOUIS FEUILLADE (GENERAL ET TECHNO.)","0340030Y","34145","PU",63,84,"L"
"LYCEE VICTOR HUGO (GENERAL ET TECHNO.)","0342090M","34145","PU",39,97,"L"
"LYCEE ST JOSEPH PIERRE ROUGE (GENERAL ET TECHNO.)","0341521U","34169","PR",6,100,"L"
"LYCEE GEORGES CLEMENCEAU","0340039H","34172","PU",41,88,"L"
"LYCEE INTERNAT D'EXCELLENCE","0342266D","34172","PU",4,100,"L"
"LYCEE JEAN MONNET","0341736C","34172","PU",134,87,"L"
"LYCEE JOFFRE","0340038G","34172","PU",42,93,"L"
"LYCEE JULES GUESDE (GENERAL ET TECHNO.)","0340040J","34172","PU",44,95,"L"
"LYCEE NEVERS (GENERAL ET TECHNO.)","0340991T","34172","PR",23,100,"L"
"LYCEE NOTRE DAME DE LA MERCI","0340881Y","34172","PR",32,100,"L"
"LYCEE RABELAIS","0341765J","34172","PR",11,73,"L"
"LYCEE JEAN MOULIN","0340059E","34199","PU",62,87,"L"
"LYCEE MARC BLOCH (GENERAL ET TECHNO.)","0342091N","34299","PU",34,91,"L"
"LYCEE IRENE ET FREDERIC JOLIOT CURIE","0340076Y","34301","PU",25,92,"L"
"LYCEE PAUL VALERY","0340075X","34301","PU",31,94,"L"
"LYCEE SAINT-JOSEPH (GENERAL ET TECHNO.)","0341523W","34301","PR",12,100,"L"
"LYCEE JEAN JAURES (GENERAL ET TECHNO.)","0342066L","34247","PU",24,100,"L"
"LYCEE SAINT-JOSEPH","0480023P","48092","PR",7,100,"L"
"LYCEE CHAPTAL","0480007X","48095","PU",30,97,"L"
"LYCEE THEOPHILE ROUSSEL (GENERAL ET TECHNO.)","0480688M","48140","PU",11,91,"L"
"LYCEE ROSA LUXEMBURG (GENERAL ET TECHNO.)","0660856X","66037","PU",33,100,"L"
"LYCEE DEODAT DE SEVERAC (GENERAL ET TECHNO.)","0660004W","66049","PU",61,97,"L"
"LYCEE ET SPORTIF PIERRE DE COUBERTIN","0660057D","66124","PU",5,100,"L"
"LYCEE ARISTIDE MAILLOL (GENERAL ET TECHNO.)","0660809W","66136","PU",34,88,"L"
"LYCEE FRANCOIS ARAGO","0660010C","66136","PU",47,98,"L"
"LYCEE JEAN LURCAT (GENERAL ET TECHNO.)","0660011D","66136","PU",60,92,"L"
"LYCEE PABLO PICASSO (GENERAL ET TECHNO.)","0660014G","66136","PU",68,91,"L"
"LYCEE SAINT-LOUIS-DE-GONZAGUE","0660768B","66136","PR",15,100,"L"
"NOTRE DAME DE BON SECOURS","0660059F","66136","PR",34,97,"L"
"LYCEE CHARLES RENOUVIER (GENERAL ET TECHNO.)","0660021P","66149","PU",23,96,"L"
"LYCEE LOUIS BERTRAND","0541286E","54099","PU",30,100,"L"
"LYCEE JEAN ZAY (GENERAL ET TECHNO.)","0540076P","54273","PU",13,77,"L"
"LYCEE LA MALGRANGE","0541986R","54274","PR",3,100,"L"
"LYCEE ALFRED MEZIERES (GENERAL ET TECHNO.)","0540030P","54323","PU",32,91,"L"
"LYCEE DES RECOLLETS","0541309E","54323","PR",5,100,"L"
"LYCEE ERNEST BICHAT","0540034U","54329","PU",45,98,"L"
"LYCEE SAINT PIERRE FOURIER","0541312H","54329","PR",2,100,"L"
"LYCEE FREDERIC CHOPIN","0540040A","54395","PU",42,100,"L"
"LYCEE HENRI POINCARE","0540038Y","54395","PU",65,95,"L"
"LYCEE JEANNE D'ARC","0540039Z","54395","PU",34,97,"L"
"LYCEE NOTRE DAME SAINT SIGISBERT","0541318P","54395","PR",15,100,"L"
"LYCEE SAINT DOMINIQUE","0541319R","54395","PR",15,80,"L"
"LYCEE SAINT LEON IX","0541313J","54395","PR",14,100,"L"
"LYCEE JACQUES MARQUETTE","0540058V","54431","PU",18,83,"L"
"LYCEE ARTHUR VAROQUAUX","0540044E","54526","PU",17,88,"L"
"LYCEE LOUIS MAJORELLE","0540066D","54528","PU",20,100,"L"
"LYCEE JACQUES CALLOT","0540070H","54547","PU",33,91,"L"
"LYCEE RAYMOND POINCARE","0550002D","55029","PU",23,91,"L"
"LYCEE SAINT LOUIS","0550047C","55029","PR",4,100,"L"
"LYCEE HENRI VOGT (GENERAL ET TECHNO.)","0550008K","55122","PU",17,100,"L"
"LYCEE ALFRED KASTLER (GENERAL ET TECHNO.)","0550072E","55502","PU",13,100,"L"
"LYCEE JEAN-AUGUSTE MARGUERITTE (GENERAL ET TECHNO.)","0550025D","55545","PU",31,97,"L"
"LYCEE SAINTE ANNE","0550049E","55545","PR",9,100,"L"
"LYCEE LOUIS CASIMIR TEYSSIER (GENERAL ET TECHNO.)","0573326F","57089","PU",14,93,"L"
"LYCEE FELIX MAYER (GENERAL ET TECHNO.)","0572022N","57160","PU",44,89,"L"
"LYCEE CHARLES HERMITE (GENERAL ET TECHNO.)","0570021N","57177","PU",14,79,"L"
"LYCEE ANTOINE DE SAINT-EXUPERY","0570023R","57206","PU",34,97,"L"
"LYCEE JEAN MOULIN","0570029X","57227","PU",34,88,"L"
"LYCEE SAINT JOSEPH-LA PROVIDENCE","0572340J","57227","PR",6,100,"L"
"LYCEE DE LA COMMUNICATION","0573281G","57463","PU",46,96,"L"
"LYCEE FABERT","0570054Z","57463","PU",51,92,"L"
"LYCEE GEORGES DE LA TOUR","0572757M","57463","PU",80,95,"L"
"LYCEE LA MISERICORDE","0570201J","57463","PR",12,100,"L"
"LYCEE LOUIS DE CORMONTAIGNE (GENERAL ET TECHNO.)","0573227Y","57463","PU",24,96,"L"
"LYCEE ROBERT SCHUMAN","0570057C","57463","PU",30,80,"L"
"LYCEE JEAN XXIII","0572341K","57480","PR",29,97,"L"
"LYCEE ERCKMANN CHATRIAN","0570081D","57540","PU",8,100,"L"
"LYCEE SAINT ANTOINE","0570211V","57540","PR",7,100,"L"
"LYCEE JULIE DAUBIE (GENERAL ET TECHNO.)","0570146Z","57591","PU",40,88,"L"
"LYCEE MANGIN (GENERAL ET TECHNO.)","0570094T","57630","PU",33,97,"L"
"LYCEE JEAN DE PANGE","0570098X","57631","PU",46,89,"L"
"LYCEE SAINTE CHRETIENNE","0570214Y","57631","PR",10,100,"L"
"LYCEE JEAN-VICTOR PONCELET","0570085H","57606","PU",40,95,"L"
"LYCEE CHARLEMAGNE","0570106F","57672","PU",29,93,"L"
"LYCEE HELENE BOUCHER","0570107G","57672","PU",43,93,"L"
"LYCEE NOTRE DAME DE LA PROVIDENCE","0570313F","57672","PR",19,100,"L"
"LYCEE SAINT PIERRE CHANEL","0570216A","57672","PR",21,100,"L"
"LYCEE JEAN LURCAT","0880004B","88078","PU",22,91,"L"
"LYCEE CLAUDE GELLEE","0880020U","88160","PU",75,96,"L"
"LYCEE LOUIS LAPICQUE","0880019T","88160","PU",25,72,"L"
"LYCEE NOTRE DAME - SAINT JOSEPH","0880101G","88160","PR",9,89,"L"
"LYCEE LA HAIE GRISELLE","0880030E","88196","PU",14,100,"L"
"LYCEE JEAN-BAPTISTE VUILLAUME","0880036L","88304","PU",27,100,"L"
"LYCEE PIERRE ET MARIE CURIE (GENERAL ET TECHNO.)","0880040R","88321","PU",18,78,"L"
"LYCEE FILIERE BOIS ANDRE MALRAUX (GENERAL ET TECHNO.)","0880153N","88383","PU",45,91,"L"
"LYCEE JEANNE D'ARC","0880097C","88383","PR",15,93,"L"
"LYCEE BEAU JARDIN","0880099E","88413","PR",13,100,"L"
"LYCEE JULES FERRY","0880055G","88413","PU",42,95,"L"
"LYCEE JOUBERT-EMILIEN MAILLARD (GENERAL ET TECHNO.)","0440001M","44003","PU",33,88,"L"
"LYCEE ST JOSEPH","0440149Y","44003","PR",16,100,"L"
"LYCEE LA HERDRIE","0442095N","44009","PU",21,100,"L"
"LYCEE CAMILLE CLAUDEL","0442207K","44015","PU",45,96,"L"
"LYCEE ALCIDE D'ORBIGNY","0442309W","44018","PU",26,100,"L"
"LYCEE GUY MOQUET - ETIENNE LENOIR (GENERAL ET TECHNO.)","0440005S","44036","PU",15,93,"L"
"LYCEE ST JOSEPH","0440151A","44036","PR",12,100,"L"
"LYCEE AIME CESAIRE (GENERAL ET TECHNO.)","0442752C","44043","PU",20,100,"L"
"LYCEE CHARLES PEGUY","0442273G","44064","PR",33,97,"L"
"LYCEE GALILEE","0442112G","44069","PU",30,97,"L"
"LYCEE LA MENNAIS","0442226F","44069","PR",16,94,"L"
"LYCEE GRAND AIR","0440012Z","44055","PU",34,97,"L"
"LYCEE ST JOSEPH","0440201E","44087","PR",24,96,"L"
"EXTERNAT DES ENFANTS NANTAIS","0442699V","44109","PR",11,100,"L"
"LYCEE ALBERT CAMUS","0440288Z","44109","PU",24,92,"L"
"LYCEE BLANCHE DE CASTILLE","0440154D","44109","PR",14,100,"L"
"LYCEE CARCOUET","0441993C","44109","PU",24,100,"L"
"LYCEE CLEMENCEAU","0440021J","44109","PU",29,100,"L"
"LYCEE DE BRETAGNE","0441982R","44109","PR",7,100,"L"
"LYCEE GABRIEL GUISTHAU","0440024M","44109","PU",61,98,"L"
"LYCEE GASPARD MONGE - LA CHAUVINIERE (GENERAL ET TECHNO.)","0440030U","44109","PU",33,88,"L"
"LYCEE JULES VERNE","0440022K","44109","PU",35,97,"L"
"LYCEE LA COLINIERE","0440086E","44109","PU",73,89,"L"
"LYCEE LA PERVERIE SACRE COEUR","0440172Y","44109","PR",25,96,"L"
"LYCEE LES BOURDONNIERES (GENERAL ET TECHNO.)","0441552Y","44109","PU",67,96,"L"
"LYCEE ND DE TOUTES AIDES","0440166S","44109","PR",19,100,"L"
"LYCEE SAINT-FELIX - LA SALLE","0442774B","44109","PR",27,100,"L"
"LYCEE ST JOSEPH DU LOQUIDY","0440161L","44109","PR",16,100,"L"
"LYCEE ST STANISLAS","0440163N","44109","PR",32,94,"L"
"LYCEE NICOLAS APPERT (GENERAL ET TECHNO.)","0442094M","44114","PU",29,90,"L"
"LYCEE PAYS DE RETZ","0441992B","44131","PU",33,94,"L"
"LYCEE JEAN PERRIN","0440062D","44143","PU",59,86,"L"
"LYCEE NOTRE DAME (GENERAL ET TECHNO.)","0440274J","44143","PR",23,96,"L"
"LYCEE JACQUES PREVERT","0440077V","44195","PU",29,97,"L"
"LYCEE GABRIEL DESHAYES","0440175B","44161","PR",8,100,"L"
"LYCEE ST DOMINIQUE","0440176C","44162","PR",27,100,"L"
"LYCEE ARISTIDE BRIAND","0440069L","44184","PU",45,93,"L"
"LYCEE ND D'ESPERANCE","0440178E","44184","PR",16,100,"L"
"LYCEE ST LOUIS","0440177D","44184","PR",13,100,"L"
"LYCEE AUGUSTE ET JEAN RENOIR","0492061Z","49007","PU",50,98,"L"
"LYCEE CHEVROLLIER (GENERAL ET TECHNO.)","0490003M","49007","PU",29,100,"L"
"LYCEE DAVID D ANGERS","0490001K","49007","PU",22,86,"L"
"LYCEE EMMANUEL MOUNIER","0492089E","49007","PU",9,78,"L"
"LYCEE HENRI BERGSON","0491966W","49007","PU",23,100,"L"
"LYCEE JOACHIM DU BELLAY","0490002L","49007","PU",90,90,"L"
"LYCEE SACRE COEUR","0492015Z","49007","PR",35,100,"L"
"LYCEE ST MARTIN","0490824E","49007","PR",14,100,"L"
"LYCEE STE AGNES","0490819Z","49007","PR",38,92,"L"
"LYCEE URBAIN MONGAZON","0492407A","49007","PR",25,88,"L"
"LYCEE ND DE BONNES NOUVELLES","0490828J","49023","PR",18,100,"L"
"LYCEE NOTRE DAME","0490837U","49092","PR",5,100,"L"
"LYCEE EUROPE ROBERT SCHUMAN (GENERAL ET TECHNO.)","0490018D","49099","PU",44,86,"L"
"LYCEE FERNAND RENAUDEAU (GENERAL ET TECHNO.)","0490054T","49099","PU",19,100,"L"
"LYCEE SAINTE MARIE","0492406Z","49099","PR",37,97,"L"
"LYCEE JEAN BODIN","0492148U","49246","PU",33,85,"L"
"LYCEE ST JOSEPH","0490835S","49244","PR",18,94,"L"
"LYCEE ND D'ORVEAU","0490834R","49233","PR",12,100,"L"
"LYCEE DUPLESSIS MORNAY","0490040C","49328","PU",70,84,"L"
"LYCEE ST LOUIS","0490838V","49328","PR",30,100,"L"
"LYCEE BLAISE PASCAL (GENERAL ET TECHNO.)","0490782J","49331","PU",25,92,"L"
"LYCEE BOURG CHEVREAU (GENERAL ET TECHNO.)","0490840X","49331","PR",12,100,"L"
"LYCEE CHAMP BLANC","0490952U","49301","PR",32,100,"L"
"LYCEE SAINT AUBIN LA SALLE (GENERAL ET TECHNO.)","0492420P","49323","PR",20,90,"L"
"LYCEE ST MICHEL","0530046M","53062","PR",6,83,"L"
"LYCEE VICTOR HUGO","0530004S","53062","PU",19,100,"L"
"LYCEE RAOUL VADEPIED (GENERAL ET TECHNO.)","0530949U","53097","PU",12,92,"L"
"LYCEE AMBROISE PARE","0530010Y","53130","PU",60,92,"L"
"LYCEE D'AVESNIERES","0530049R","53130","PR",24,96,"L"
"LYCEE DOUANIER ROUSSEAU","0530011Z","53130","PU",49,98,"L"
"LYCEE IMMACULEE CONCEPTION","0530048P","53130","PR",19,100,"L"
"LYCEE DON BOSCO","0530052U","53147","PR",5,100,"L"
"LYCEE LAVOISIER","0530016E","53147","PU",58,97,"L"
"LYCEE ANDRE MALRAUX","0721548S","72003","PU",21,90,"L"
"LYCEE RACAN","0720012X","72071","PU",24,92,"L"
"LYCEE ROBERT GARNIER (GENERAL ET TECHNO.)","0720017C","72132","PU",19,84,"L"
"LYCEE ST PAUL-NOTRE DAME","0721549T","72132","PR",10,100,"L"
"LYCEE D'ESTOURNELLES DE CONSTANT (GENERAL ET TECHNO.)","0720021G","72154","PU",29,97,"L"
"LYCEE NOTRE DAME","0720833P","72154","PR",3,100,"L"
"LYCEE BELLEVUE","0720030S","72181","PU",109,92,"L"
"LYCEE LE MANS SUD (GENERAL ET TECHNO.)","0721094Y","72181","PU",20,90,"L"
"LYCEE MARGUERITE YOURCENAR","0721493G","72181","PU",47,94,"L"
"LYCEE MONTESQUIEU","0720029R","72181","PU",51,86,"L"
"LYCEE NOTRE DAME","0720837U","72181","PR",36,97,"L"
"LYCEE SAINT CHARLES-SAINTE CROIX (GENERAL ET TECHNO.)","0721684P","72181","PR",13,92,"L"
"LYCEE PERSEIGNE (GENERAL ET TECHNO.)","0720027N","72180","PU",11,100,"L"
"LYCEE RAPHAEL ELIZE (GENERAL ET TECHNO.)","0720048L","72264","PU",25,84,"L"
"LYCEE STE ANNE (GENERAL ET TECHNO.)","0720843A","72264","PR",7,100,"L"
"LYCEE PAUL SCARRON","0720055U","72334","PU",12,75,"L"
"LYCEE FRANCOIS TRUFFAUT","0851346B","85047","PU",35,86,"L"
"LYCEE NOTRE DAME (GENERAL ET TECHNO.)","0850142T","85047","PR",40,98,"L"
"LYCEE GEORGES CLEMENCEAU","0850006V","85051","PU",17,100,"L"
"LYCEE STE MARIE (GENERAL ET TECHNO.)","0850135K","85051","PR",21,100,"L"
"LYCEE FRANCOIS RABELAIS (GENERAL ET TECHNO.)","0850068M","85092","PU",32,81,"L"
"LYCEE NOTRE DAME","0851344Z","85092","PR",10,100,"L"
"LYCEE J.DE LATTRE DE TASSIGNY","0851401L","85191","PU",46,91,"L"
"LYCEE ND DU ROC","0850130E","85191","PR",25,100,"L"
"LYCEE PIERRE MENDES-FRANCE","0850025R","85191","PU",67,99,"L"
"LYCEE SAINT FRANCOIS D'ASSISE","0851642Y","85191","PR",40,95,"L"
"LYCEE JEAN MONNET (GENERAL ET TECHNO.)","0851400K","85109","PU",25,88,"L"
"LYCEE JEAN XXIII","0850076W","85109","PR",14,100,"L"
"LYCEE SAVARY DE MAULEON","0850032Y","85194","PU",33,88,"L"
"LYCEE STE MARIE DU PORT (GENERAL ET TECHNO.)","0850133H","85194","PR",25,100,"L"
"LYCEE ATLANTIQUE (GENERAL ET TECHNO.)","0850016F","85128","PU",32,91,"L"
"LYCEE STE URSULE (GENERAL ET TECHNO.)","0850077X","85128","PR",22,100,"L"
"LYCEE JEANNE D'ARC","0850136L","85146","PR",15,100,"L"
"LYCEE LEONARD DE VINCI (GENERAL ET TECHNO.)","0851390Z","85146","PU",58,95,"L"
"LYCEE ND DE LA TOURTELIERE","0850079Z","85182","PR",20,95,"L"
"LYCEE ST GABRIEL ST MICHEL","0850086G","85238","PR",14,79,"L"
"LYCEE JACQUES AUDIBERTI","0060001U","6004","PU",47,83,"L"
"LYCEE MONT SAINT JEAN","0060668U","6004","PR",12,100,"L"
"LYCEE AUGUSTE RENOIR","0060009C","6027","PU",68,91,"L"
"LYCEE BRISTOL","0060013G","6029","PU",45,96,"L"
"LYCEE CARNOT","0060011E","6029","PU",72,88,"L"
"LYCEE SAINTE MARIE","0060670W","6029","PR",15,100,"L"
"LYCEE STANISLAS","0060673Z","6029","PR",13,100,"L"
"LYCEE RENE GOSCINNY","0062089N","6054","PU",21,86,"L"
"LYCEE ALEXIS DE TOCQUEVILLE","0061760F","6069","PU",22,77,"L"
"LYCEE AMIRAL DE GRASSE","0060020P","6069","PU",43,95,"L"
"LYCEE FENELON","0060674A","6069","PR",20,100,"L"
"LYCEE PIERRE ET MARIE CURIE","0060026W","6083","PU",26,100,"L"
"LYCEE ALBERT CALMETTE","0060031B","6088","PU",53,92,"L"
"LYCEE GUILLAUME APOLLINAIRE","0061763J","6088","PU",59,90,"L"
"LYCEE HONORE D'ESTIENNE D'ORVES (GENERAL ET TECHNO.)","0060033D","6088","PU",56,98,"L"
"LYCEE MASSENA","0060030A","6088","PU",36,100,"L"
"LYCEE PARC IMPERIAL","0060029Z","6088","PU",76,92,"L"
"LYCEE SASSERNO","0060677D","6088","PR",17,100,"L"
"LYCEE STANISLAS","0060729K","6088","PR",9,100,"L"
"LYCEE THIERRY MAULNIER","0061691F","6088","PU",50,96,"L"
"INSTITUTION ST JOSEPH CARNOLES (GENERAL ET TECHNO.)","0060750H","6104","PR",10,100,"L"
"LYCEE INTERNATIONAL","0061642C","6152","PU",41,98,"L"
"LYCEE SIMONE VEIL","0062015H","6152","PU",39,92,"L"
"LYCEE DE LA MONTAGNE (GENERAL ET TECHNO.)","0061987C","6153","PU",11,100,"L"
"LYCEE HENRI MATISSE","0061884R","6157","PU",47,98,"L"
"LYCEE RAYNOUARD (GENERAL ET TECHNO.)","0830007G","83023","PU",52,100,"L"
"LYCEE SAINTE JEANNE D ARC (GENERAL ET TECHNO.)","0831444U","83023","PR",12,100,"L"
"LYCEE JEAN MOULIN","0830015R","83050","PU",35,89,"L"
"LYCEE ALBERT CAMUS (GENERAL ET TECHNO.)","0831440P","83061","PU",35,86,"L"
