"Etablissement","Code_etablissement","Code_commune","Secteur","Effectif","Taux_reussite","Filiere"
"LYCEE FRANCOIS ARAGO","0660010C","66136","PU",178,89,"S"
"LYCEE JEAN LURCAT (GENERAL ET TECHNO.)","0660011D","66136","PU",101,85,"S"
"LYCEE PABLO PICASSO (GENERAL ET TECHNO.)","0660014G","66136","PU",192,86,"S"
"LYCEE SAINT-LOUIS-DE-GONZAGUE","0660768B","66136","PR",78,100,"S"
"NOTRE DAME DE BON SECOURS","0660059F","66136","PR",137,96,"S"
"LYCEE CHARLES RENOUVIER (GENERAL ET TECHNO.)","0660021P","66149","PU",56,91,"S"
"LYCEE L'ASSOMPTION","0541305A","54099","PR",16,94,"S"
"LYCEE LOUIS BERTRAND","0541286E","54099","PU",87,97,"S"
"LYCEE JEAN ZAY (GENERAL ET TECHNO.)","0540076P","54273","PU",55,93,"S"
"LYCEE LA MALGRANGE","0541986R","54274","PR",109,99,"S"
"LYCEE ALFRED MEZIERES (GENERAL ET TECHNO.)","0540030P","54323","PU",143,92,"S"
"LYCEE DES RECOLLETS","0541309E","54323","PR",35,97,"S"
"LYCEE ERNEST BICHAT","0540034U","54329","PU",155,90,"S"
"LYCEE JACQUES-MARIE BOUTET DE MONVEL (GENERAL ET TECHNO.)","0542293Z","54329","PU",26,88,"S"
"LYCEE SAINT PIERRE FOURIER","0541312H","54329","PR",27,63,"S"
"LYCEE CHARLES DE FOUCAULD","0542408Z","54395","PR",17,71,"S"
"LYCEE FREDERIC CHOPIN","0540040A","54395","PU",138,91,"S"
"LYCEE GEORGES DE LA TOUR","0540041B","54395","PU",35,83,"S"
"LYCEE HENRI LORITZ","0540042C","54395","PU",197,95,"S"
"LYCEE HENRI POINCARE","0540038Y","54395","PU",226,88,"S"
"LYCEE JEANNE D'ARC","0540039Z","54395","PU",103,97,"S"
"LYCEE NOTRE DAME SAINT SIGISBERT","0541318P","54395","PR",133,95,"S"
"LYCEE SAINT DOMINIQUE","0541319R","54395","PR",25,92,"S"
"LYCEE SAINT LEON IX","0541313J","54395","PR",26,96,"S"
"LYCEE JACQUES MARQUETTE","0540058V","54431","PU",99,90,"S"
"LYCEE JEAN HANZELET (GENERAL ET TECHNO.)","0541270M","54431","PU",30,97,"S"
"LYCEE ARTHUR VAROQUAUX","0540044E","54526","PU",119,91,"S"
"LYCEE JEAN-BAPTISTE VATELOT","0541320S","54528","PR",18,94,"S"
"LYCEE LOUIS MAJORELLE","0540066D","54528","PU",97,99,"S"
"LYCEE JACQUES CALLOT","0540070H","54547","PU",84,93,"S"
"LYCEE STANISLAS (GENERAL ET TECHNO.)","0542208G","54578","PU",97,89,"S"
"LYCEE RAYMOND POINCARE","0550002D","55029","PU",97,97,"S"
"LYCEE SAINT LOUIS","0550047C","55029","PR",53,98,"S"
"LYCEE HENRI VOGT (GENERAL ET TECHNO.)","0550008K","55122","PU",59,98,"S"
"LYCEE ALFRED KASTLER (GENERAL ET TECHNO.)","0550072E","55502","PU",45,98,"S"
"LYCEE JEAN-AUGUSTE MARGUERITTE (GENERAL ET TECHNO.)","0550025D","55545","PU",152,97,"S"
"LYCEE SAINTE ANNE","0550049E","55545","PR",18,89,"S"
"LYCEE LOUIS CASIMIR TEYSSIER (GENERAL ET TECHNO.)","0573326F","57089","PU",69,84,"S"
"LYCEE FELIX MAYER (GENERAL ET TECHNO.)","0572022N","57160","PU",90,94,"S"
"LYCEE CHARLES HERMITE (GENERAL ET TECHNO.)","0570021N","57177","PU",64,91,"S"
"LYCEE ANTOINE DE SAINT-EXUPERY","0570023R","57206","PU",138,86,"S"
"LYCEE JEAN MOULIN","0570029X","57227","PU",80,88,"S"
"LYCEE SAINT JOSEPH-LA PROVIDENCE","0572340J","57227","PR",24,100,"S"
"LYCEE DE LA COMMUNICATION","0573281G","57463","PU",51,92,"S"
"LYCEE DE LA SALLE","0570311D","57463","PR",70,97,"S"
"LYCEE FABERT","0570054Z","57463","PU",327,95,"S"
"LYCEE GEORGES DE LA TOUR","0572757M","57463","PU",172,97,"S"
"LYCEE LA MISERICORDE","0570201J","57463","PR",27,85,"S"
"LYCEE LOUIS DE CORMONTAIGNE (GENERAL ET TECHNO.)","0573227Y","57463","PU",109,84,"S"
"LYCEE LOUIS VINCENT","0570058D","57463","PU",134,97,"S"
"LYCEE ROBERT SCHUMAN","0570057C","57463","PU",65,71,"S"
"LYCEE JEAN XXIII","0572341K","57480","PR",72,97,"S"
"LYCEE ERCKMANN CHATRIAN","0570081D","57540","PU",32,94,"S"
"LYCEE SAINT ANTOINE","0570211V","57540","PR",41,100,"S"
"LYCEE JULIE DAUBIE (GENERAL ET TECHNO.)","0570146Z","57591","PU",139,92,"S"
"LYCEE MANGIN (GENERAL ET TECHNO.)","0570094T","57630","PU",116,90,"S"
"LYCEE HENRI NOMINE (GENERAL ET TECHNO.)","0570099Y","57631","PU",62,82,"S"
"LYCEE JEAN DE PANGE","0570098X","57631","PU",139,97,"S"
"LYCEE SAINTE CHRETIENNE","0570214Y","57631","PR",17,94,"S"
"LYCEE CONDORCET (GENERAL ET TECHNO.)","0573231C","57638","PU",67,99,"S"
"LYCEE ET DES TECHNO INNOV. C. JULLY (GENERAL ET TECHNO.)","0570087K","57606","PU",114,89,"S"
"LYCEE JEAN-VICTOR PONCELET","0570085H","57606","PU",140,90,"S"
"LYCEE GUSTAVE EIFFEL (GENERAL ET TECHNO.)","0572590F","57663","PU",23,78,"S"
"LYCEE CHARLEMAGNE","0570106F","57672","PU",119,92,"S"
"LYCEE HELENE BOUCHER","0570107G","57672","PU",154,88,"S"
"LYCEE JEAN-BAPTISTE COLBERT","0572027U","57672","PU",27,89,"S"
"LYCEE LA BRIQUERIE (GENERAL ET TECHNO.)","0570108H","57672","PU",27,74,"S"
"LYCEE NOTRE DAME DE LA PROVIDENCE","0570313F","57672","PR",99,99,"S"
"LYCEE SAINT PIERRE CHANEL","0570216A","57672","PR",115,100,"S"
"LYCEE JEAN LURCAT","0880004B","88078","PU",64,91,"S"
"LYCEE CLAUDE GELLEE","0880020U","88160","PU",170,94,"S"
"LYCEE LOUIS LAPICQUE","0880019T","88160","PU",72,90,"S"
"LYCEE NOTRE DAME - SAINT JOSEPH","0880101G","88160","PR",41,98,"S"
"LYCEE PIERRE MENDES FRANCE (GENERAL ET TECHNO.)","0880021V","88160","PU",96,91,"S"
"LYCEE LA HAIE GRISELLE","0880030E","88196","PU",57,96,"S"
"LYCEE JEAN-BAPTISTE VUILLAUME","0880036L","88304","PU",93,89,"S"
"LYCEE PIERRE ET MARIE CURIE (GENERAL ET TECHNO.)","0880040R","88321","PU",79,89,"S"
"LYCEE FILIERE BOIS ANDRE MALRAUX (GENERAL ET TECHNO.)","0880153N","88383","PU",97,97,"S"
"LYCEE JEANNE D'ARC","0880097C","88383","PR",31,100,"S"
"LYCEE BEAU JARDIN","0880099E","88413","PR",35,100,"S"
"LYCEE GEORGES BAUMONT (GENERAL ET TECHNO.)","0880152M","88413","PU",79,99,"S"
"LYCEE JULES FERRY","0880055G","88413","PU",69,83,"S"
"LYCEE JOUBERT-EMILIEN MAILLARD (GENERAL ET TECHNO.)","0440001M","44003","PU",100,87,"S"
"LYCEE ST JOSEPH","0440149Y","44003","PR",100,99,"S"
"LYCEE LA HERDRIE","0442095N","44009","PU",150,91,"S"
"LYCEE CAMILLE CLAUDEL","0442207K","44015","PU",110,94,"S"
